This is the rounded form of the level chart, as done
by Russ Taylor in his ROM 2.4 documentation, and the
additions (Levels 60-100) done by Belgarath ca. 1996.
----------------------------------------------------
Level         Hit Points      AC       Damage Amount
-----         ----------     ----      -------------
 1            2d6+10           9       1d4+0
 2            2d7+21           8       1d5+0
 3            2d6+35           7       1d6+0
 4            2d7+46           6       1d5+1
 5            2d6+60           5       1d6+1
 6            2d7+71           4       1d7+1
 7            2d6+85           4       1d8+1
 8            2d7+96           3       1d7+2
 9            2d6+110          2       1d8+2
10            2d7+121          1       2d4+2
11            2d8+134          1       1d10+2
12            2d10+150         0       1d10+3
13            2d10+170        -1       2d5+3
14            2d10+190        -1       1d12+3
15            3d9+208         -2       2d6+3
16            3d9+233         -2       2d6+4
17            3d9+258         -3       3d4+4
18            3d9+283         -3       2d7+4
19            3d9+308         -4       2d7+5
20            3d9+333         -4       2d8+5
21            4d10+360        -5       4d4+5
22            5d10+400        -5       4d4+6
23            5d10+450        -6       3d6+6
24            5d10+500        -6       2d10+6
25            5d10+550        -7       2d10+7
26            5d10+600        -7       3d7+7
27            5d10+650        -8       5d4+7
28            6d12+703        -8       2d12+8
29            6d12+778        -9       2d12+8
30            6d12+853        -9       4d6+8
31            6d12+928        -10      4d6+9
32            10d10+1000      -10      6d4+9
33            10d10+1100      -11      6d4+10
34            10d10+1200      -11      4d7+10
35            10d10+1300      -12      4d7+11
36            10d10+1400      -12      3d10+11
37            10d10+1500      -13      3d10+12
38            10d10+1600      -13      5d6+12
39            15d10+1700      -13      5d6+13
40            15d10+1850      -13      4d8+13
41            25d10+2000      -14      4d8+14
42            25d10+2250      -14      3d12+14
43            25d10+2500      -15      3d12+15
44            25d10+2750      -15      8d4+15
45            25d10+3000      -15      8d4+16
46            25d10+3250      -16      6d6+16
47            25d10+3500      -17      6d6+17
48            25d10+3750      -18      6d6+18
49            50d10+4000      -19      4d10+18
50            50d10+4500      -20      5d8+19
51            50d10+5000      -21      5d8+20
52            50d10+5500      -22      6d7+20
53            50d10+6000      -23      6d7+21
54            50d10+6500      -24      6d7+22
55            50d10+7000      -25      10d4+23
56            50d10+7500      -26      10d4+24
57            50d10+8000      -27      5d10+24
58            50d10+8500      -28      5d10+25
59            50d10+9000      -29      8d6+26
60            50d10+9500      -30      8d6+28
61            60d10+9750      -31      8d8+30
62            60d10+10000     -32      9d7+31
63            60d10+10250     -33      9d7+32
64            60d10+10500     -34      9d7+33
65            60d10+10750     -35      10d5+33
66            60d10+11000     -36      10d5+34
67            60d10+11250     -37      7d10+34
68            60d10+11500     -38      7d10+35
69            60d10+11750     -39      8d10+35
70            60d10+12000     -40      8d10+36
71            70d10+12250     -41      9d8+36
72            70d10+12500     -42      9d9+36
73            70d10+12750     -43      9d9+37
74            70d10+13000     -44      9d9+38
75            70d10+13250     -45      10d7+38
76            70d10+13500     -46      10d7+39
77            70d10+13750     -47      8d10+39
78            70d10+14000     -48      8d10+40
79            70d10+14500     -49      8d11+40
80            70d10+14750     -50      8d11+41
81            80d10+15000     -51      10d8+41
82            80d10+15250     -52      11d7+41
83            80d10+15500     -53      11d7+42
84            80d10+15750     -54      11d7+43
85            80d10+16000     -55      10d9+43
86            80d10+16250     -56      10d9+44
87            80d10+16500     -57      9d10+44
88            80d10+16750     -58      9d10+45
89            80d10+17000     -59      9d11+45
90            80d10+17250     -60      9d11+46
91            90d10+17500     -61      10d9+46
92            90d10+17750     -62      12d7+46
93            90d10+18000     -63      12d7+47
94            90d10+18250     -64      12d7+48
95            90d10+18500     -65      10d10+48
96            90d10+18750     -66      10d10+49
97            90d10+19000     -67      11d10+49
98            90d10+19250     -68      11d10+50
99            90d10+19500     -69      11d11+50
100           90d10+19750     -70      12d12+50
